Name,Ticker,Asset_Type,Price,Date,Time
Hedera,HBAR-USD,Crypto,0.05679728801676653,2026-08-15,12:22:58
Arbitrum,ARB-USD,Crypto,0.0005435437295025482,2026-08-15,12:22:58
Stellar,XLM-USD,Crypto,0.13670493475735365,2026-08-15,12:22:58
Internet Computer,ICP-USD,Crypto,1.9565816096022277,2026-08-15,12:22:58
Bitcoin Cash,BCH-USD,Crypto,177.2182555387285,2026-08-15,12:22:58
Ethereum Classic,ETC-USD,Crypto,5.417906668724094,2026-08-15,12:22:58
Cosmos,ATOM-USD,Crypto,1.2857807557833743,2026-08-15,12:22:58
NEAR Protocol,NEAR-USD,Crypto,1.4139267199936052,2026-08-15,12:22:58
Zcash,ZEC-USD,Crypto,422.1214749121181,2026-08-15,12:22:58
Filecoin,FIL-USD,Crypto,0.5979571409470665,2026-08-15,12:22:58
Algorand,ALGO-USD,Crypto,0.06862681828454599,2026-08-15,12:22:58
Litecoin,LTC-USD,Crypto,38.05496258001462,2026-08-15,12:22:58
BNB,BNB-USD,Crypto,527.895926560536,2026-08-15,12:22:58
MultiversX,EGLD-USD,Crypto,2.307146931874345,2026-08-15,12:22:58
Tether,USDT-USD,Crypto,0.863253114932827,2026-08-15,12:22:58
Solana,SOL-USD,Crypto,65.03216406737843,2026-08-15,12:22:58
Theta Network,THETA-USD,Crypto,0.12069771116637415,2026-08-15,12:22:58
XRP,XRP-USD,Crypto,0.866087400444627,2026-08-15,12:22:58
Tezos,XTZ-USD,Crypto,0.1716102450021704,2026-08-15,12:22:58
Chiliz,CHZ-USD,Crypto,0.010974069229754198,2026-08-15,12:22:58
USD Coin,USDC-USD,Crypto,0.8639950868950838,2026-08-15,12:22:58
EOS,EOS-USD,Crypto,0.05308378427126569,2026-08-15,12:22:58
Cardano,ADA-USD,Crypto,0.15480350619092834,2026-08-15,12:22:58
Axie Infinity,AXS-USD,Crypto,0.7552233672444977,2026-08-15,12:22:58
Dogecoin,DOGE-USD,Crypto,0.06046971702674746,2026-08-15,12:22:58
Ethereum,ETH-USD,Crypto,1622.2439679626334,2026-08-15,12:22:58
Decentraland,MANA-USD,Crypto,0.05564803880627702,2026-08-15,12:22:58
Avalanche,AVAX-USD,Crypto,5.68232145443398,2026-08-15,12:22:58
The Sandbox,SAND-USD,Crypto,0.03430476928411191,2026-08-15,12:22:58
TRON,TRX-USD,Crypto,0.2867742750914357,2026-08-15,12:22:58
Quant,QNT-USD,Crypto,50.4634383864546,2026-08-15,12:22:58
Kava,KAVA-USD,Crypto,0.03516886776603089,2026-08-15,12:22:58
Polkadot,DOT-USD,Crypto,0.6734794931228274,2026-08-15,12:22:58
THORChain,RUNE-USD,Crypto,0.36213031965466524,2026-08-15,12:22:58
Chainlink,LINK-USD,Crypto,8.064644989644531,2026-08-15,12:22:58
Aave,AAVE-USD,Crypto,75.29766909760428,2026-08-15,12:22:58
Toncoin,TON-USD,Crypto,0.004396813034447977,2026-08-15,12:22:58
Bitcoin,BTC-USD,Crypto,54394.11635166937,2026-08-15,12:22:58
Maker,MKR-USD,Crypto,1107.3771011980534,2026-08-15,12:22:58
Shiba Inu,SHIB-USD,Crypto,3.94893666136721e-06,2026-08-15,12:22:58
VeChain,VET-USD,Crypto,0.00391437280256603,2026-08-15,12:22:58
Optimism,OP-USD,Crypto,0.07452862041217094,2026-08-15,12:22:58
Synthetix,SNX-USD,Crypto,0.17288047154105404,2026-08-15,12:22:58
